FIPS,population,county,state,urban
6051,14310,Mono County,CALIFORNIA,Rural
6069,60376,San Benito County,CALIFORNIA,Urban
13029,37063,Bryan County,GEORGIA,Urban
13035,24090,Butts County,GEORGIA,Urban
13039,53231,Camden County,GEORGIA,Rural
13079,12325,Crawford County,GEORGIA,Urban
13099,10312,Early County,GEORGIA,Rural
13069,43021,Coffee County,GEORGIA,Rural
13077,143260,Coweta County,GEORGIA,Urban
13123,30414,Gilmer County,GEORGIA,Rural
13297,91442,Walton County,GEORGIA,Urban
13317,9844,Wilkes County,GEORGIA,Rural
13091,20829,Dodge County,GEORGIA,Rural
13129,57202,Gordon County,GEORGIA,Rural
13057,247515,Cherokee County,GEORGIA,Urban
13113,112303,Fayette County,GEORGIA,Urban
13177,29502,Lee County,GEORGIA,Urban
13227,31387,Pickens County,GEORGIA,Urban
13133,17349,Greene County,GEORGIA,Rural
13075,17177,Cook County,GEORGIA,Rural
13085,24536,Dawson County,GEORGIA,Urban
13121,1036200,Fulton County,GEORGIA,Urban
15001,199459,Hawaii County,HAWAII,Rural
15003,984821,Honolulu County,HAWAII,Urban
15007,71769,Kauai County,HAWAII,Rural
16031,23690,Cassia County,IDAHO,Rural
16063,5350,Lincoln County,IDAHO,Rural
16085,10709,Valley County,IDAHO,Rural
16041,13464,Franklin County,IDAHO,Urban
16069,40217,Nez Perce County,IDAHO,Urban
16055,157322,Kootenai County,IDAHO,Urban
16067,20705,Minidoka County,IDAHO,Rural
16083,84869,Twin Falls County,IDAHO,Rural
16013,22373,Blaine County,IDAHO,Rural
16015,7378,Boise County,IDAHO,Urban
16023,2581,Butte County,IDAHO,Rural
16047,15148,Gooding County,IDAHO,Rural
16001,456849,Ada County,IDAHO,Urban
16007,6000,Bear Lake County,IDAHO,Rural
16011,45839,Bingham County,IDAHO,Rural
16025,1048,Camas County,IDAHO,Rural
16035,8673,Clearwater County,IDAHO,Rural
16051,28534,Jefferson County,IDAHO,Urban
41039,373340,Lane County,OREGON,Urban
51181,6523,Surry County,VIRGINIA,Urban
51043,14423,Clarke County,VIRGINIA,Urban
51117,30728,Mecklenburg County,VIRGINIA,Rural
51015,75079,Augusta County,VIRGINIA,Rural
51075,22865,Goochland County,VIRGINIA,Urban
51113,13170,Madison County,VIRGINIA,Rural
51161,93823,Roanoke County,VIRGINIA,Urban
51025,16520,Brunswick County,VIRGINIA,Rural
51131,11885,Northampton County,VIRGINIA,Rural
51163,22570,Rockbridge County,VIRGINIA,Rural
51720,3970,Norton city,VIRGINIA,Rural
51570,17428,Colonial Heights city,VIRGINIA,Urban
51021,6388,Bland County,VIRGINIA,Rural
51023,33343,Botetourt County,VIRGINIA,Urban
51520,16912,Bristol city,VIRGINIA,Urban
51830,14927,Williamsburg city,VIRGINIA,Urban
51035,29801,Carroll County,VIRGINIA,Rural
6067,1524553,Sacramento County,CALIFORNIA,Urban
6017,188563,El Dorado County,CALIFORNIA,Urban
6053,433410,Monterey County,CALIFORNIA,Urban
6075,874961,San Francisco County,CALIFORNIA,Urban
6073,3316073,San Diego County,CALIFORNIA,Urban
6107,461898,Tulare County,CALIFORNIA,Urban
6023,135940,Humboldt County,CALIFORNIA,Rural
6003,1039,Alpine County,CALIFORNIA,Rural
6039,155433,Madera County,CALIFORNIA,Urban
6087,273962,Santa Cruz County,CALIFORNIA,Urban
6105,12700,Trinity County,CALIFORNIA,Rural
6065,2411439,Riverside County,CALIFORNIA,Urban
6071,2149031,San Bernardino County,CALIFORNIA,Urban
6041,259943,Marin County,CALIFORNIA,Urban
6061,385512,Placer County,CALIFORNIA,Urban
6089,179212,Shasta County,CALIFORNIA,Urban
6095,441829,Solano County,CALIFORNIA,Urban
6011,21454,Colusa County,CALIFORNIA,Rural
28029,28501,Copiah County,MISSISSIPPI,Urban
28049,238797,Hinds County,MISSISSIPPI,Urban
28145,28507,Union County,MISSISSIPPI,Rural
28139,22018,Tippah County,MISSISSIPPI,Rural
28035,75224,Forrest County,MISSISSIPPI,Urban
28071,53590,Lafayette County,MISSISSIPPI,Rural
28087,59150,Lowndes County,MISSISSIPPI,Rural
28157,8875,Wilkinson County,MISSISSIPPI,Rural
28065,11339,Jefferson Davis County,MISSISSIPPI,Rural
28123,28332,Scott County,MISSISSIPPI,Rural
28163,28565,Yazoo County,MISSISSIPPI,Rural
28011,31848,Bolivar County,MISSISSIPPI,Rural
28113,39532,Pike County,MISSISSIPPI,Rural
28131,18276,Stone County,MISSISSIPPI,Urban
28069,9943,Kemper County,MISSISSIPPI,Rural
28133,26168,Sunflower County,MISSISSIPPI,Rural
28001,31266,Adams County,MISSISSIPPI,Rural
28033,178975,DeSoto County,MISSISSIPPI,Urban
42045,564554,Delaware County,PENNSYLVANIA,Urban
42111,74361,Somerset County,PENNSYLVANIA,Rural
29123,12179,Madison County,MISSOURI,Rural
29217,20595,Vernon County,MISSOURI,Rural
29147,22359,Nodaway County,MISSOURI,Rural
29041,7483,Chariton County,MISSOURI,Rural
29223,13195,Wayne County,MISSOURI,Rural
29201,38633,Scott County,MISSOURI,Rural
29011,11797,Barton County,MISSOURI,Rural
29039,14043,Cedar County,MISSOURI,Rural
29073,14711,Gasconade County,MISSOURI,Rural
29121,15199,Macon County,MISSOURI,Rural
29149,10647,Oregon County,MISSOURI,Rural
29186,17848,Ste. Genevieve County,MISSOURI,Rural
29067,13306,Douglas County,MISSOURI,Rural
29083,21735,Henry County,MISSOURI,Rural
29109,38204,Lawrence County,MISSOURI,Rural
29169,52425,Pulaski County,MISSOURI,Rural
29215,25604,Texas County,MISSOURI,Rural
29027,44889,Callaway County,MISSOURI,Urban
29053,17660,Cooper County,MISSOURI,Rural
29075,6616,Gentry County,MISSOURI,Rural
51191,54071,Washington County,VIRGINIA,Urban
51139,23788,Page County,VIRGINIA,Rural
51510,157613,Alexandria city,VIRGINIA,Urban
51650,135041,Hampton city,VIRGINIA,Urban
51013,233464,Arlington County,VIRGINIA,Urban
51027,21788,Buchanan County,VIRGINIA,Rural
51179,146773,Stafford County,VIRGINIA,Urban
51760,226622,Richmond city,VIRGINIA,Urban
51057,10998,Essex County,VIRGINIA,Rural
51185,41603,Tazewell County,VIRGINIA,Rural
51183,11377,Sussex County,VIRGINIA,Urban
51683,41174,Manassas city,VIRGINIA,Urban
51775,25317,Salem city,VIRGINIA,Urban
51037,12040,Charlotte County,VIRGINIA,Rural
51081,11525,Greensville County,VIRGINIA,Rural
53067,279711,Thurston County,WASHINGTON,Urban
53013,3992,Columbia County,WASHINGTON,Rural
72059,18514,Guayanilla Municipio,PUERTO RICO,Urban
72121,22560,Sabana Grande Municipio,PUERTO RICO,Urban
72067,15943,Hormigueros Municipio,PUERTO RICO,Urban
72141,28676,Utuado Municipio,PUERTO RICO,Rural
72099,36161,Moca Municipio,PUERTO RICO,Urban
72123,28109,Salinas Municipio,PUERTO RICO,Rural
29133,13574,Mississippi County,MISSOURI,Rural
29153,9207,Ozark County,MISSOURI,Rural
29017,12225,Bollinger County,MISSOURI,Urban
47165,183437,Sumner County,TENNESSEE,Urban
47169,10231,Trousdale County,TENNESSEE,Urban
47027,7654,Clay County,TENNESSEE,Rural
17139,14641,Moultrie County,ILLINOIS,Rural
17149,15672,Pike County,ILLINOIS,Rural
17151,4203,Pope County,ILLINOIS,Rural
17163,262338,St. Clair County,ILLINOIS,Urban
17173,21737,Shelby County,ILLINOIS,Rural
17019,209922,Champaign County,ILLINOIS,Urban
17013,4830,Calhoun County,ILLINOIS,Urban
17053,13270,Ford County,ILLINOIS,Urban
17089,531376,Kane County,ILLINOIS,Urban
17093,126054,Kendall County,ILLINOIS,Urban
17009,6628,Brown County,ILLINOIS,Rural
17121,37743,Marion County,ILLINOIS,Rural
17125,13621,Mason County,ILLINOIS,Rural
17075,27812,Iroquois County,ILLINOIS,Rural
17025,13287,Clay County,ILLINOIS,Rural
17059,5064,Gallatin County,ILLINOIS,Rural
17133,34168,Monroe County,ILLINOIS,Urban
17181,16968,Union County,ILLINOIS,Rural
17201,284819,Winnebago County,ILLINOIS,Urban
17153,5510,Pulaski County,ILLINOIS,Rural
17169,6953,Schuyler County,ILLINOIS,Rural
17045,17407,Edgar County,ILLINOIS,Rural
17007,53537,Boone County,ILLINOIS,Urban
17011,33122,Bureau County,ILLINOIS,Rural
17029,51353,Coles County,ILLINOIS,Rural
17033,18972,Crawford County,ILLINOIS,Rural
17155,5721,Putnam County,ILLINOIS,Rural
17039,15932,De Witt County,ILLINOIS,Rural
17103,34389,Lee County,ILLINOIS,Rural
17117,45463,Macoupin County,ILLINOIS,Urban
17159,15766,Richland County,ILLINOIS,Rural
17189,14058,Washington County,ILLINOIS,Rural
41067,589481,Washington County,OREGON,Urban
41007,39102,Clatsop County,OREGON,Rural
42023,4611,Cameron County,PENNSYLVANIA,Rural
42017,626806,Bucks County,PENNSYLVANIA,Urban
42077,365052,Lehigh County,PENNSYLVANIA,Urban
42031,38715,Clarion County,PENNSYLVANIA,Rural
42059,36870,Greene County,PENNSYLVANIA,Rural
42079,317663,Luzerne County,PENNSYLVANIA,Urban
42037,65715,Columbia County,PENNSYLVANIA,Rural
42065,43846,Jefferson County,PENNSYLVANIA,Rural
42099,46053,Perry County,PENNSYLVANIA,Urban
42113,6135,Sullivan County,PENNSYLVANIA,Rural
44003,163869,Kent County,RHODE ISLAND,Urban
44009,126060,Washington County,RHODE ISLAND,Urban
45071,38194,Newberry County,SOUTH CAROLINA,Rural
45027,33957,Clarendon County,SOUTH CAROLINA,Rural
45085,106757,Sumter County,SOUTH CAROLINA,Urban
45011,21346,Barnwell County,SOUTH CAROLINA,Rural
45031,67027,Darlington County,SOUTH CAROLINA,Urban
45091,265872,York County,SOUTH CAROLINA,Urban
45021,56895,Cherokee County,SOUTH CAROLINA,Rural
45053,28657,Jasper County,SOUTH CAROLINA,Rural
45061,17365,Lee County,SOUTH CAROLINA,Rural
45001,24627,Abbeville County,SOUTH CAROLINA,Rural
46085,3848,Lyman County,SOUTH DAKOTA,Rural
46039,4318,Deuel County,SOUTH DAKOTA,Rural
6021,27976,Glenn County,CALIFORNIA,Rural
6007,225817,Butte County,CALIFORNIA,Urban
6031,150691,Kings County,CALIFORNIA,Urban
6063,18660,Plumas County,CALIFORNIA,Rural
6079,282165,San Luis Obispo County,CALIFORNIA,Urban
6019,984521,Fresno County,CALIFORNIA,Urban
6029,887641,Kern County,CALIFORNIA,Urban
6059,3168044,Orange County,CALIFORNIA,Urban
6111,847263,Ventura County,CALIFORNIA,Urban
6009,45514,Calaveras County,CALIFORNIA,Rural
6101,96109,Sutter County,CALIFORNIA,Urban
6081,767423,San Mateo County,CALIFORNIA,Urban
6109,54045,Tuolumne County,CALIFORNIA,Rural
6077,742603,San Joaquin County,CALIFORNIA,Urban
6005,38429,Amador County,CALIFORNIA,Rural
8095,4290,Phillips County,COLORADO,Rural
8007,13253,Archuleta County,COLORADO,Rural
8031,705576,Denver County,COLORADO,Urban
8061,1489,Kiowa County,COLORADO,Rural
8055,6679,Huerfano County,COLORADO,Rural
8009,3561,Baca County,COLORADO,Rural
8047,6018,Gilpin County,COLORADO,Urban
8063,7447,Kit Carson County,COLORADO,Rural
8051,16802,Gunnison County,COLORADO,Rural
8079,824,Mineral County,COLORADO,Rural
8091,4796,Ouray County,COLORADO,Rural
8115,2322,Sedgwick County,COLORADO,Rural
8123,305345,Weld County,COLORADO,Urban
8027,4776,Custer County,COLORADO,Rural
8023,3745,Costilla County,COLORADO,Rural
8035,336041,Douglas County,COLORADO,Urban
8065,7751,Lake County,COLORADO,Rural
8067,55617,La Plata County,COLORADO,Rural
8097,17926,Pitkin County,COLORADO,Rural
8105,11305,Rio Grande County,COLORADO,Rural
8011,5787,Bent County,COLORADO,Rural
8025,5754,Crowley County,COLORADO,Rural
8111,589,San Juan County,COLORADO,Rural
8069,344786,Larimer County,COLORADO,Urban
8075,22380,Logan County,COLORADO,Rural
8113,8049,San Miguel County,COLORADO,Rural
8119,24524,Teller County,COLORADO,Urban
8039,25717,Elbert County,COLORADO,Urban
8071,14266,Las Animas County,COLORADO,Rural
8073,5585,Lincoln County,COLORADO,Rural
8117,30649,Summit County,COLORADO,Rural
8003,16107,Alamosa County,COLORADO,Rural
8029,30565,Delta County,COLORADO,Rural
8043,47321,Fremont County,COLORADO,Rural
8085,41686,Montrose County,COLORADO,Rural
8087,28517,Morgan County,COLORADO,Rural
8109,6592,Saguache County,COLORADO,Rural
8099,12022,Prowers County,COLORADO,Rural
8121,4868,Washington County,COLORADO,Rural
8049,15303,Grand County,COLORADO,Rural
8089,18282,Otero County,COLORADO,Rural
8014,67886,Broomfield County,COLORADO,Urban
10005,224384,Sussex County,DELAWARE,Rural
11001,692683,District of Columbia,DISTRICT OF COLUMBIA,Urban
9009,857513,New Haven County,CONNECTICUT,Urban
9003,893561,Hartford County,CONNECTICUT,Urban
47157,936374,Shelby County,TENNESSEE,Urban
47077,27977,Henderson County,TENNESSEE,Rural
47089,53679,Jefferson County,TENNESSEE,Urban
47153,14816,Sequatchie County,TENNESSEE,Urban
47017,27886,Carroll County,TENNESSEE,Rural
47037,687488,Davidson County,TENNESSEE,Urban
47135,7962,Perry County,TENNESSEE,Rural
47121,12104,Meigs County,TENNESSEE,Rural
47075,17623,Haywood County,TENNESSEE,Rural
47125,200180,Montgomery County,TENNESSEE,Urban
47061,13344,Grundy County,TENNESSEE,Rural
47029,35552,Cocke County,TENNESSEE,Rural
47041,19847,DeKalb County,TENNESSEE,Rural
47101,12027,Lewis County,TENNESSEE,Rural
47131,30365,Obion County,TENNESSEE,Rural
47167,61447,Tipton County,TENNESSEE,Urban
47045,37416,Dyer County,TENNESSEE,Rural
47065,360919,Hamilton County,TENNESSEE,Urban
47139,16814,Polk County,TENNESSEE,Urban
47185,26800,White County,TENNESSEE,Rural
47163,157050,Sullivan County,TENNESSEE,Urban
36095,31222,Schoharie County,NEW YORK,Urban
36035,53646,Fulton County,NEW YORK,Rural
36083,159185,Rensselaer County,NEW YORK,Urban
36033,50477,Franklin County,NEW YORK,Rural
36081,2287388,Queens County,NEW YORK,Urban
36115,61616,Washington County,NEW YORK,Urban
36061,1631993,New York County,NEW YORK,Urban
36011,77425,Cayuga County,NEW YORK,Rural
36087,324422,Rockland County,NEW YORK,Urban
36063,210820,Niagara County,NEW YORK,Urban
36031,37459,Essex County,NEW YORK,Rural
36059,1356509,Nassau County,NEW YORK,Urban
36097,17920,Schuyler County,NEW YORK,Rural
36017,47909,Chenango County,NEW YORK,Rural
36045,112842,Jefferson County,NEW YORK,Rural
36103,1483832,Suffolk County,NEW YORK,Urban
36121,40305,Wyoming County,NEW YORK,Rural
36075,118339,Oswego County,NEW YORK,Urban
36117,90519,Wayne County,NEW YORK,Urban
36007,193188,Broome County,NEW YORK,Urban
8053,857,Hinsdale County,COLORADO,Rural
36029,919355,Erie County,NEW YORK,Urban
36105,75116,Sullivan County,NEW YORK,Rural
36071,380085,Orange County,NEW YORK,Urban
37087,61053,Haywood County,NORTH CAROLINA,Urban
37067,375195,Forsyth County,NORTH CAROLINA,Urban
18089,485707,Lake County,INDIANA,Urban
18107,38287,Montgomery County,INDIANA,Rural
18001,35376,Adams County,INDIANA,Rural
18041,23194,Fayette County,INDIANA,Rural
18021,26234,Clay County,INDIANA,Urban
18037,42543,Dubois County,INDIANA,Rural
18047,22774,Franklin County,INDIANA,Urban
18059,75164,Hancock County,INDIANA,Urban
18067,82331,Howard County,INDIANA,Urban
18115,5874,Ohio County,INDIANA,Urban
18121,16946,Parke County,INDIANA,Rural
18135,24926,Randolph County,INDIANA,Rural
18007,8677,Benton County,INDIANA,Urban
18013,15064,Brown County,INDIANA,Urban
18133,37384,Putnam County,INDIANA,Urban
18175,27848,Washington County,INDIANA,Urban
18027,33120,Daviess County,INDIANA,Rural
18065,48255,Henry County,INDIANA,Rural
18083,37065,Knox County,INDIANA,Rural
18095,129455,Madison County,INDIANA,Urban
18125,12378,Pike County,INDIANA,Rural
18131,12559,Pulaski County,INDIANA,Rural
18151,34453,Steuben County,INDIANA,Rural
56021,98320,Laramie County,WYOMING,Urban
56039,23280,Teton County,WYOMING,Rural
48407,28180,San Jacinto County,TEXAS,Urban
48459,41018,Upshur County,TEXAS,Urban
48473,51832,Waller County,TEXAS,Urban
48493,49173,Wilson County,TEXAS,Urban
48219,23064,Hockley County,TEXAS,Rural
48329,168167,Midland County,TEXAS,Urban
48299,21047,Llano County,TEXAS,Rural
48147,34537,Fannin County,TEXAS,Rural
48041,222981,Brazos County,TEXAS,Urban
48165,20706,Gaines County,TEXAS,Rural
48179,22410,Gray County,TEXAS,Rural
48237,8852,Jack County,TEXAS,Rural
48035,18296,Bosque County,TEXAS,Rural
48029,1952843,Bexar County,TEXAS,Urban
48023,3577,Baylor County,TEXAS,Rural
48121,833822,Denton County,TEXAS,Urban
48167,332885,Galveston County,TEXAS,Urban
48393,805,Roberts County,TEXAS,Rural
48463,26920,Uvalde County,TEXAS,Rural
48037,93373,Bowie County,TEXAS,Urban
48263,647,Kent County,TEXAS,Rural
48425,8860,Somervell County,TEXAS,Rural
48199,56765,Hardin County,TEXAS,Urban
48289,17225,Leon County,TEXAS,Rural
48351,13914,Newton County,TEXAS,Rural
48389,15492,Reeves County,TEXAS,Rural
48453,1226805,Travis County,TEXAS,Urban
48087,2969,Collingsworth County,TEXAS,Rural
48143,41841,Erath County,TEXAS,Rural
48345,1252,Motley County,TEXAS,Rural
48083,8334,Coleman County,TEXAS,Rural
48325,50057,Medina County,TEXAS,Urban
48213,81070,Henderson County,TEXAS,Rural
48277,49611,Lamar County,TEXAS,Rural
48267,4373,Kimble County,TEXAS,Rural
48477,35163,Washington County,TEXAS,Rural
48429,9364,Stephens County,TEXAS,Rural
48003,18036,Andrews County,TEXAS,Rural
48177,20731,Gonzales County,TEXAS,Rural
48305,5830,Lynn County,TEXAS,Rural
48505,14304,Zapata County,TEXAS,Rural
48221,58318,Hood County,TEXAS,Rural
48269,237,King County,TEXAS,Rural
48073,52118,Cherokee County,TEXAS,Rural
48119,5249,Delta County,TEXAS,Urban
48253,19943,Jones County,TEXAS,Urban
9015,116566,Windham County,CONNECTICUT,Rural
9011,267390,New London County,CONNECTICUT,Urban
9007,163053,Middlesex County,CONNECTICUT,Urban
9013,151063,Tolland County,CONNECTICUT,Urban
9001,943926,Fairfield County,CONNECTICUT,Urban
12133,24764,Washington County,FLORIDA,Rural
12031,936186,Duval County,FLORIDA,Urban
12007,27317,Bradford County,FLORIDA,Rural
12009,585507,Brevard County,FLORIDA,Urban
12019,211405,Clay County,FLORIDA,Urban
12067,8637,Lafayette County,FLORIDA,Rural
12069,345867,Lake County,FLORIDA,Urban
12089,83098,Nassau County,FLORIDA,Urban
12103,964666,Pinellas County,FLORIDA,Urban
12105,686218,Polk County,FLORIDA,Urban
12111,312947,St. Lucie County,FLORIDA,Urban
12043,13516,Glades County,FLORIDA,Rural
12051,40732,Hendry County,FLORIDA,Rural
12061,153989,Indian River County,FLORIDA,Urban
12063,47945,Jackson County,FLORIDA,Rural
12109,244674,St. Johns County,FLORIDA,Urban
12117,461402,Seminole County,FLORIDA,Urban
12005,182161,Bay County,FLORIDA,Urban
12035,109801,Flagler County,FLORIDA,Urban
12045,15576,Gulf County,FLORIDA,Rural
12077,8345,Liberty County,FLORIDA,Rural
12097,351955,Osceola County,FLORIDA,Urban
12131,68262,Walton County,FLORIDA,Rural
12039,45945,Gadsden County,FLORIDA,Urban
12065,14161,Jefferson County,FLORIDA,Urban
12083,353526,Marion County,FLORIDA,Urban
12049,27131,Hardee County,FLORIDA,Rural
12093,41144,Okeechobee County,FLORIDA,Rural
12095,1349746,Orange County,FLORIDA,Urban
12041,17953,Gilchrist County,FLORIDA,Urban
12121,44046,Suwannee County,FLORIDA,Rural
12001,265443,Alachua County,FLORIDA,Urban
12013,14362,Calhoun County,FLORIDA,Rural
12015,181067,Charlotte County,FLORIDA,Urban
12029,16589,Dixie County,FLORIDA,Rural
12085,159065,Martin County,FLORIDA,Urban
12115,419496,Sarasota County,FLORIDA,Urban
12081,384213,Manatee County,FLORIDA,Urban
12017,145169,Citrus County,FLORIDA,Rural
12003,28211,Baker County,FLORIDA,Urban
12113,174755,Santa Rosa County,FLORIDA,Urban
12073,289770,Leon County,FLORIDA,Urban
12011,1926205,Broward County,FLORIDA,Urban
12087,75798,Monroe County,FLORIDA,Rural
12053,186313,Hernando County,FLORIDA,Urban
12057,1422278,Hillsborough County,FLORIDA,Urban
12123,21870,Taylor County,FLORIDA,Rural
12129,32321,Wakulla County,FLORIDA,Urban
13189,21455,McDuffie County,GEORGIA,Urban
13211,18507,Morgan County,GEORGIA,Rural
13149,11736,Heard County,GEORGIA,Urban
13095,89703,Dougherty County,GEORGIA,Urban
13111,25395,Fannin County,GEORGIA,Rural
13153,153507,Houston County,GEORGIA,Urban
13175,47405,Laurens County,GEORGIA,Rural
13255,65306,Spalding County,GEORGIA,Urban
13271,16035,Telfair County,GEORGIA,Rural
18171,8237,Warren County,INDIANA,Rural
18165,15539,Vermillion County,INDIANA,Urban
18179,28011,Wells County,INDIANA,Urban
18003,372575,Allen County,INDIANA,Urban
18031,26562,Decatur County,INDIANA,Rural
18035,115020,Delaware County,INDIANA,Urban
18043,77320,Floyd County,INDIANA,Urban
18077,32201,Jefferson County,INDIANA,Rural
18079,27710,Jennings County,INDIANA,Rural
18081,153716,Johnson County,INDIANA,Urban
18103,35815,Miami County,INDIANA,Rural
18109,69922,Morgan County,INDIANA,Urban
